change,change_id,requirement_id,requirement,scenario,test_evidence_status,branches,source_evidence,implementation_commit,test_artifact
C01,harden-opencli-argv-contract,OC-ARGV-001,Raw values are lossless,Empty and padded values,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-001,Raw values are lossless,Null is rejected,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-002,Overloads share one token contract,Caller mutates after submission,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-002,Overloads share one token contract,Equivalent overloads,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-003,Option occurrences preserve intent,Repeated and false-valued options,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-003,Option occurrences preserve intent,Unknown option semantics,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-004,Literal arguments are not shell source,Shell-looking value,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-004,Literal arguments are not shell source,Embedded equals and quotes,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-005,Evidence reaches the process boundary,Prefix-only test passes,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C01,harden-opencli-argv-contract,OC-ARGV-005,Evidence reaches the process boundary,Three branch verification,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E02;E05;E17;E18,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-001,Concurrency ownership is stable,Clients with different limits,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-001,Concurrency ownership is stable,Explicit shared runtime,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-002,Queueing consumes the total deadline,Expired in queue,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-002,Queueing consumes the total deadline,Clock changes,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-003,Captured output is finite,Large stdout,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-003,Captured output is finite,Unicode at boundary,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-004,Cancellation has an owned cleanup path,Interrupted waiting thread,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-004,Cancellation has an owned cleanup path,Shared daemon remains alive,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-005,Uncertain cleanup is observable,Platform cannot confirm a descendant,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-005,Uncertain cleanup is observable,Repeated cancel and completion race,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
C02,harden-opencli-process-lifecycle,OC-PROC-006,Continuous output requires a bounded policy,Unbounded follow requested,PLANNED_NOT_RUN,feature/1.0.x;feature/2.0.x;feature/3.0.x,E01;E04;E12,NOT_IMPLEMENTED,NOT_RUN
